UnixTime,Longitude,Latitude,Speed,Fix Quality,Altitude,SNR
1700088664.0075555,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088665.0101924,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088666.0141451,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088667.0170174,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088668.0199423,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088669.023302,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088670.0264819,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088671.032191,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088672.0351348,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088673.0372803,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088674.0415606,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088675.044495,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088676.0513675,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088677.0557323,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088678.057665,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088679.0613787,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088680.0649645,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088681.0723498,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088682.0745509,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088683.0765345,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088684.079162,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088685.0815601,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088686.0879653,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088687.0911505,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088688.0931542,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088689.0961084,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088690.0987918,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088691.1036267,4217.59436 N,08342.71575 W,0.11482400000000001,,,
1700088692.1063552,4217.59436 N,08342.71575 W,0.11482400000000001,,,
